"Date Made Public","Company","Location","Type of breach","Type of organization","Records Breached","Total Records","Description of incident","Information Source","Source URL"
"June 10, 2016","Riverside Health System","Riverside, California","DISC","MED","578","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 10, 2016","Saint Mary and Elizabeth Hospital","Louisville, Kentucky","HACK","MED","1,682","Unknown","As reported by Health and Human Services unauthorized access/disclosure email. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 9, 2016","Pruitt Health Hospice Beaufort","Anderson, South Carolina","DISC","MED","1,437","Unknown","As reported by Health and Human Services unauthorized access/disclosure
paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 29, 2016","Massachusetts General Hospital","Boston, Massachusetts","HACK","MED","4,293","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 17, 2016","Allergy, Asthma & Immunology of the Rockies, PC","Glenwood Springs, Colorado","HACK","MED","6,851","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 1, 2016","My Pediatrician","Brandon, Florida","HACK","MED","2,500","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 26, 2016","Nintendo of America, Inc.","Redmond, Washington","HACK","MED","6,248","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 15, 2016","Alliance Health Networks, LLC","Sandy, Utah","HACK","MED","42,372","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information:
https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"January 15, 2016","Hawaii Medical Service Association","Honolulu, Hawaii","DISC","MED","10,179","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure paper/films. No specific information as to what was 
contained in the emails was provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"January 14, 2016","Fellicia Lewis, M.D.","Lakewood Hills, Texas","HACK","MED","1,500","Unknown","No specifc information was provided by Health and Human Services as to the type of information compromised in the breach.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"December 31, 2015","Pittman Family Dental","Montpelier, Ohio","HACK","MED","8,830","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"December 28, 2015","Michael Benjamin, M.D. Inc. ","West Hills, California","PHYS","MED","1,300","Unknown","As reported by Health and Human Services theft/paper/films. No specific information as to what was 
contained in the emails was provided by health and human services.More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf","Government Agency",""
"December 24, 2015","HealthSouth Rehabilitation Hospital of Round Rock","Round Rock, Texas","PORT","MED","1,359","Unknown","As
 reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"December 23, 2015","ST Psychotherapy, LLC","Oshkosh, Wisconsin","PORT","MED","509","Unknown","As
 reported by Health and Human Services theft/laptop. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"December 23, 2015","Allina Health","Minneapolis, Minnesota","PHYS","MED","6,195","Unknown","As
 reported by Health and Human Services improper disposal/paper films. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"December 23, 2015","White Glove Health","Austin, Texas","DISC","MED","975","Unknown","As
 reported by Health and Human Services unauthorized access/disclosure 
email. No specific information as to what information was compromised as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"February 15, 2016","Radiology Regional Center, PA","Fort Meyers, Florida","PHYS","MED","483,063","483,063","""Radiology Regional Center, 
PA, a physician-owned and managed diagnostic facility with nine 
locations in Florida, announced today that on December 19, 2015, 
Radiology Regional Center was informed by its records disposal vender, 
Lee County Solid Waste Division (“Lee County”), that, on that same date,
 paper records containing the personal information of Radiology Regional
 Center’s patients were released by Lee County on Fowler Street in Fort 
Myers, Florida.  The records were released while Lee County was 
transporting the records to be incinerated.  This release is being 
issued in accordance with guidelines from the Health Insurance 
Portability and Accountability Act (“HIPAA”).  Impacted 
patients have already been notified in accordance with HIPAA. To the 
best of Radiology Regional Center’s knowledge, these records, which date
 from 2005-2012, may have contained patient names, addresses, phone 
numbers, social security numbers, dates of birth, health insurance 
numbers, and other medical status and assessment information as well as 
financial information gathered in the patient medical and financial 
records.""More Information: https://globenewswire.com/news-release/2016/02/15/810701/0/en/Radiology-...","Media",""
"July 12, 2016","Kaiser Permanente Northern California","Oakland, California","INSD","MED","Unknown","Unknown","""The preliminary investigation has determined that two Kaiser Permanente employees stole equipment and machines from several Kaiser Permanente sites and stored them in an offsite storage unit.  When the stolen items were returned, each was examined and some of the ultrasound machines were found to contain PHI.  The theft of this equipment appears to have been for the purpose of selling the machine for profit, and not for the disclosing or misuse of PHI.  There is no indication that any protected health information has been used for fraud or other criminal activity.""The information compromised included MRN only or with first names, last names, images. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-62796 ","",""
"July 14, 2016","Blaine Chiropractic","Blaine, Minnesota","HACK","MED","1,945","Unknown","As reported by Health and Human Services hacking/IT incident/network 
server. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 27, 2016","Ceaton C. Falgiano","Buffalo, New York","DISC","MED","650","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 21, 2016","Uncommon Care, P.A.","Angier, North Carolina","HACK","MED","13,674","Unknown","As reported by Health and Human Services hacking/IT incident/network server. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 17, 2016","Midland Women's Clinic","Midland, Texas","DISC","MED","717","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 14, 2016","Laser & Dermatologic Surgery Center","St. Louis, Missouri","HACK","MED","31,000","Unknown","As reported by Health and Human Services hacking/IT incident/network 
server. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"June 7, 2016","Midland County Hospital District dba. Midland Memorial Hospital","Midland, Texas","DISC","MED","1,468","Unknown","As reported by Health and Human Services unauthorized access/disclosure/paper films. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 27, 2016","Cardon Outreach","The Woodlands, Texas","INSD","MED","22","Unknown","""A health care revenue company says one of its employees looked at nearly two dozen patient records without authorization.Cardon Outreach does contract work for AnMed Health, and has employees on site at the hospital. AnMed said in a release that a Cardon Outreach employee opened 22 patient files without authorization, including her own file.Cardon Outreach fired the employee immediately after learning of the breach, according to the release.""More Information: http://www.wyff4.com/news/unauthorized-employee-accessed-hospital-patien...","Media",""
"July 16, 2016","Providence Health & Services","Portland, Oregon","INSD","MED","5,400","5,400","""Providence Health & Services in Oregon is notifying about 5,400 current and former patients that a former employee may have improperly accessed their patient records.Providence said in a statement Friday that it learned of the breach in May during an internal audit and had since fired the Portland-based employee.The audit found the worker had accessed health records between July 2012 and April 2016. It says the worker viewed demographic and medical treatment information, and may also have seen insurance information and Social Security numbers.""More Information: http://www.kgw.com/news/health/providence-notifies-5400-oregon-patients-...","Media",""
"July 27, 2016","Select Pain & Spine Dr. Christopher T. Sloan, D.P.M.","Farmington, Missouri","HACK","MED","48,000","48,000","“We write to inform you that our practice discovered a data breach on May 27, 2016 that may have contained personal health information and have been investigating the exact nature and scope of the information obtained by the hackers since,” the letter reads. “To date, our investigation has determined that on May 4, 2016, a hacker, or hackers, likely gained access into our secured database system through a third party contractor and may have obtained some personal information of our patients including: names, addresses, social security numbers, date of births, diagnoses, lab results, other medical records, and potentially some financial information.""""On June 25, a hacker going by the name “thedarkoverlord” provided information to Deep Dot Web of a purported hacking of three different healthcare organizations – one originating from Farmington and containing 48,000 alleged patient records, according to the Deep Dot Web report.""This breach is one entity of the medical group that was hacked. More Information: http://dailyjournalonline.com/news/local/local-medical-group-involved-in...More Information: http://www.hipaajournal.com/farmington-medical-group-confirms-cyberattac...","Media",""
"July 26, 2016","Midwest Orthopedic Group","Farmington, Missouri","HACK","MED","29,153","29,153","""Midwest Orthopedics Group includes a number of healthcare companies 
including Midwest Imaging Center, LLC; Van Ness Orthopedic and Sports 
Medicine, Inc.; Mineral Area Pain Center, P.C.; MidWest Orthopedic Pain 
& Spine; and Select Pain & Spine.""""Patients were informed that the breach was first discovered on May 
27, 2016 and the information compromised in the attack included names, 
dates of birth, addresses, Social Security numbers, Medical diagnoses, 
laboratory test results, medical records, and possibly also financial 
information.
An investigation into the breach was launched and it appears that the
 cyberattack occurred on May 4, 2016. The attack was conducted via a 
third party contractor, according to the breach notice.""More Information: http://www.hipaajournal.com/farmington-medical-group-confirms-cyberattac...More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF... ","Media",""
"July 25, 2016","American Family Care, Inc.","Birmingham, Alabama","DISC","MED","7200","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 22, 2016","Caring for Women, PA","Easton, Pennsylvania","DISC","MED","697","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 22, 2016","Ambucor Health Solutions (an unincorporated division of The ScottCare Corporation)","Wilmington, Delaware","PORT","MED","1679","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email/other portable electronic device. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 21, 2016","Sunbury Plaza Dental","Westerville, Ohio","PHYS","MED","7784","Unknown","As reported by Health and Human Services theft/paper/films. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 20, 2016","Premier Family Care I, Inc.","Midland, Texas","DISC","MED","1326","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/paper/films. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 19, 2016","Access Health Care Physicians, LLC","Spring Hill , Florida","PHYS","MED","2500","Unknown","As reported by Health and Human Services theft/paper/films. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 15, 2016","Lee Rice D.O. Medical Corp DBA Lifewellness Institute","San Diego, California","HACK","MED","2473","Unknown","As reported by Health and Human Services hacking/IT incident. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 14, 2016","Sunshine State Health Plan, Inc. ","Sunrise, Florida","DISC","MED","1479","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 14, 2016","Cefalu Eye-Tech of Green, Inc. ","Uniontown, Ohio","DISC","MED","850","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/electronic medical records. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 11, 2016","Lasair Aesthetic Health P.C.","Denver, Colorado","DISC","MED","1835","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 11, 2016","Health Incent, LLC","Memphis, Tennessee","HACK","MED","1100","Unknown","As reported by Health and Human Services hacking/IT incident/other. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 11, 2016","Dr. Q Pain and Spine d/b/a Arkansas Spine and Pain","Little Rock, Arkansas","HACK","MED","17100","Unknown","As reported by Health and Human Services hacking/IT incident/network 
server. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 7, 2016","Heart Center of Southern Maryland, L.L.P.","Waldorf, Maryland","HACK","MED","1350","Unknown","As reported by Health and Human Services hacking/IT incident/electronic medical record. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 7, 2016","The Ambulatory Surgery Center at St. Mary","Langhorne, Pennsylvania","HACK","MED","13,000","Unknown","As reported by Health and Human Services hacking/IT incident/network 
server. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 1, 2016","Planned Parenthood of the Heartland","Des Moines, Iowa","DISC","MED","2506","Unknown","As reported by Health and Human Services unauthorized access/disclosure/paper/films. No specific information as to what information was compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"August 3, 2016","Banner Health","Phoenix, Arizona","HACK","MED","Unknown","Unknown","""On July 13, 2016, we discovered that cyber attackers may have gained unauthorized access to information stored on a limited number of Banner Health computer servers.  We immediately launched an investigation, hired a leading forensics firm, took steps to block the cyber attackers, and contacted law enforcement.  The investigation revealed that the attack was initiated on June 17, 2016.""The information compromised included names, birthdates, addresses, physician's name (s), dates of service, clinical information, health insurance information, and Social Security numbers. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63197","California Attorney General",""
"August 9, 2016","Brian D. Halevie-Goldman, M.D. ","Walnut Creek, California","PORT","MED","2,000 (per Department of Health and Human Services)","Unknown","""On July 19, 2016 two laptop computers belonging to the medical offices of Dr. Brian Halevie-Goldman were stolen. The laptops were password protected, secured in a carrying case and locked inside a vehicle when the theft occurred.  It is not known whether the information contained on the laptops was or will be accessed by the thief.  It is possible that the laptops themsleves and not the information they contained were the target of the thief.""The information compromised included names, birthdate and patient charts.More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63286","California Attorney General",""
"August 12, 2016","Bon Secours Health System","Richmond , Virginia","DISC","MED","655,000","655,000","""Approximately 655,000 patients of the Bon Secours Health System are being notified that their informaiton may have been compromised during an incident with a contractor in April.According to a release, R-C Healthcare Management, a company doing work for Bon Secours, inadvertently left files containing patient information accessible on the internet while attempting to adjust their network settings from April 18th to April 21st.""The information compromised included patient names, health insurer's name, health insurance identification number, social security number and limited clinical information. More Information: http://wtkr.com/2016/08/12/655000-bon-secours-patients-exposed-to-data-b...","Media",""
"August 12, 2016","Valley Anesthesiology & Pain Consultants","Phoenix, Arizona","HACK","MED","Unknown","Unknown","""On June 13, 2016, we learned that a third party may have gained unauthorized access to the VAPC computer systems on March 30, 2016. Upon learning of the situation, we immediately began an investigation, including hiring a leading forensics firm to assist us, and notifying law enforcement.  The forensics firm found no evidenc that the information on the computer systems was accessed, but was unable to definitively rul that out.  The computer systems may ontain some of your information, such as your name, providers' names, date of service, place treatment, diagnosis and treatment codes, and your Medicare number, which may include your social security number.  Your financial information was not included in these computer systems.""More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63349 ","California Attorney General",""
"August 10, 2016","Autism Home Support Services","Northbrook, Illinois","DISC","MED","533","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"August 9, 2016","Professional Dermatology Care, P.C. ","Reston, Virginia","HACK","MED","13,237","Unknown","As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"August 11, 2016","Prosthetic & Orthotic Care, Inc.","St. Louis, Missouri","HACK","MED","23,015","Unknown","""Prosthetic and Orthotic Care (POC), an independent prosthetics and orthotics company serving disabled individuals in Southern Illinois and Eastern Missouri, has discovered that an unauthorized individual has stolen the protected health information of 23,015 patients.The cyberattack occurred in June 2016, although POC only became aware of the hacking incident on July 10. The hacker gained access to patient data by exploiting security flaw in a third party software system that had been purchased by POC. The attack was conducted by a hacker operating under the name – TheDarkOverlord – who was also responsible for the cyberattacks on Athens Orthopedic Clinic and Midwest Orthopedics Group, in addition to a hack of as of yet unnamed health insurer. In total, the records of over 9.5 million patients are understood to have been obtained by the hacker.According to a breach notice issued by POC, the stolen data include names, addresses and other contact information, internal ID numbers, billing amounts, appointment dates, and diagnostic codes. Some patients also had their Social Security number, date of birth, procedure photographs, health insurer’s names, and other identification information stolen.""The ""breach total number"" was included in the posting of the third party software vendor who was hacked and affected many medical clinics, practices and facilities. More Information: http://www.hipaajournal.com/hacker-steals-phi-23000-patients-prosthetic-...","Media",""
"August 5, 2016","Center for Minimally Invasive Bariatric and General Surgery","Chester, Pennsylvania","DISC","MED","992","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/email. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 29, 2016","Jefferson Medical Associates, P.A.","Laurel, Missouri","HACK","MED","10,401","10,401","""A Laurel clinic has issued a warning to a small group of their patients after a recent data breach of their systems. Jefferson Medical Associates issued a press release stating that privacy events may have compromised certain personal information. Continue reading >>""I find things that are publicly available on the internet that should probably not be public available,"" said Chris Vickery, a cyber security researcher who lives in Austin, Texas. ""Things like databases that have no password and are configured for public access. ""Vickery said he found a security flaw in a database of Jefferson Medical patient information.""I was just going through randomly looking at the publicly available, configured for public access databases on those ports, and this one showed up,"" he said. ""When I realized there social security numbers and names and phone numbers and prescription information, it dawned on me that 'hey this probably should not be public if it is real data.' So then I started the process of trying to figure out whose it was."" Jefferson Medical said Vickery was an unauthorized individual who shouldn't have had access to that information.""This information is private information,"" said Katie Gilchrist, Jefferson Medical's legal counsel. ""It's federally protected information. It's information that was on our server. This individual accessed it without our permission. He did in secret. There has never been a time when patient information in Jefferson Medical's possession has been just out there for anyone to get to.""Vickery agrees he shouldn't have had access and said that's why he alerted the clinic to the hole in its security.""It was as available as a website is,"" Vickery said.Gilchrist said, ""Basically it's like leaving a window unlocked in your house. You leave the house, and you leave a window unlocked. These folks out there think that entitles them to come into the house and look around at all your stuff and then take things with them when they leave. That's just not appropriate.""Vickery said this isn't a hack because the information was readily available to anyone who knewwhere to look.""There was nothing to hack,"" Vickery said. ""There simply was no password, no user name, no security features of any sort being used. If you want to use a real analogy, here's a better one. I drove along a country road, a public country road, that not many people drive along, and on the side of the road, there were some records. Jefferson Medical left those records there. I took pictures of them and hunted down Jefferson and told them their records were on the side of the road. There's no crime involved there. That's not hacking. That's simply them being negligent.""Gilchrist said and internal investigation is ongoing, and Jefferson Medical has already increase security in response to the breach.""More Information: http://www.wdam.com/story/32712941/security-flaw-may-be-responsible-for-...","Media",""
"July 28, 2016","Athletes' Performance, Inc. ","Phoenix, Arizona","PORT","MED","854","Unknown","As reported by Health and Human Services theft/laptop. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"July 25, 2016","StarCare Specialty Health System","Lubbock, Texas","PORT","MED","2844","Unknown","As reported by Health and Human Services theft/laptop, paper/films. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"August 14, 2016","John E. Gonzalez DDS","Los Angeles, California","PORT","MED","Unknown","Unknown","""On the late afternoon of Monday July 25, 2016, my car window was broken out and my briefcase was stolen.  In that breifcase was an external hard drive containing two different types of data.  First, all office patient records were backed up on the drive, including social security numbers, driver's license numbers, phone numbers, date of birth, physical and email addresses and health insurance information.  NO passwords or user names appear in these records. No complete credit card information or bank account information was stored on this drive (only the last four digist of the most recend card used is stored).""More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63351","California Attorney General",""
"August 22, 2016","SCAN Health Plan","Long Beach, California","HACK","MED","Unknown","Unknown","""On June 27, 2016 we learned that contact sheets, which are documents kept in a system used for sales purposes, had been accessed and possibly viewed for unauthorized purposes. We immediately began an investigation and brought in outside experts. We determined the unauthorized access occurred between March and June of 2016. While there is no indication that the information in this system has been used fraudulently, we needed to let you know that your information was in this system.What Information Was Involved? The information on the contact sheets that were exposed included name, address, and phone number. For some people it also included date of birth and limited health notes, such as a doctor name, health condition, or medication name. For a small number of individuals it may have also included Social Security number.""More Information: http://www.scandatafacts.com/#substitute","Security Breach Letter",""
"August 19, 2016","Orleans Medical Clinic","Orleans, Massachusetts","HACK","MED","6,890","Unknown","As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"August 15, 2016","Phoenix Dental Care","Lebanon, Tennessee","PHYS","MED","500","Unknown","As reported by Health and Human Services theft/paper/films. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"August 4, 2016","The Carle Foundation","Urbana, Illinois","DISC","MED","1,185","Unknown","As reported by Health and Human Services unauthorized 
access/disclosure/network server. No specific information as to what information was 
compromised 
as
provided by health and human services.

More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 1, 2016","CHI Franciscan Healthcare Highline Medical Center","Seattle, Washington","DISC","MED","18,399","18,399","As reported by Health and Human Services unauthorized access/disclosure. No specific information as to what information was  compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...Letter from company: http://ago.vermont.gov/assets/files/Consumer/Security_Breach/CHI%20Franc...","Government Agency",""
"August 31, 2016","Center for Neurosurgical & Spine Disorders, LLC",", Louisiana","HACK","MED","824","Unknown","As reported by Health and Human Services unauthorized hacking/IT incident. No specific information as to what information was  compromised  as provided by health and human services. More Information: https://ocrportal.hhs.gov/ocr/breach/breach_report.jsf;jsessionid=9BF4AF...","Government Agency",""
"September 12, 2016","University Gastroenterology","Providence, Rhode Island","HACK","MED","Unknown","Unknown","""On July 11, 2016, we discovered that an unauthorized individual had gained access to an electronic file storage system from a practice we acquired in 2014, Consultants in Gastroenterology, and encrypted several files. We immediately took action to secure our system and conducted  an investigation to determine what information was contained in those files. We determined that some files may have contained your name, address, date of birth, Social Security number, and medical billing information.""More Information: http://ago.vermont.gov/assets/files/Consumer/Security_Breach/University%...http://universitygi.com/securityincident.pdf","Vermont Attorney General",""
"September 11, 2016","Pratap S. Kurra, M.D.","Los Banos, California","PHYS","MED","Unknown","Unknown","""On August 9, 2016, I was informed that papers related to my practice were found in a trash container. I immediately began an investigation into the matter and determined that on August 8, 2016, the day before, billing tickets used by my practice were accidentally thrown away during my move.  Fortunately, all known records were retrieved within 24 hours, and upon further investigation, it was determined to have been a singular incident.""The information compromised included names, procedure type, surgeon, additional physician information, hospital, date and time of procedure, type of anesthesia and case difficulty. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63839","California Attorney General",""
"September 11, 2016","Yuba Sutter Medical Center","Sonora, California","HACK","MED","Unknown","Unknown","""On or about August 3, 2016, the Yuba-Sutter Medical Clinic's computer system came under a ransomware attack"" by hackers.  Ransomware attacks are designed to deny access to certain portions of a computer systems until a ransom is paid.In such an attack, the risk is not usually to patient privacy.  Instead it poses an operational risk to health systems in that it can result in patients being turned away due to an inability to provide care as a result of not having immediate access to records.  Fortunately, we were able to regain access and no data was lost.  Nevertheless, as a result of the attack, we were temporarily denied access to certain portions of our computer system, and we regret any delays or rescheduling of appointments that may hae resulted from this incident.""The information involved included clinic information, patient names, addresses, phone numbers, billing and insurance information. More Information: http://oag.ca.gov/ecrime/databreach/reports/sb24-63841","California Attorney General",""
"September 13, 2016","New York State Psychiatric Institute","New York, New York","HACK","MED","13,000 individuals had birthdays and demographic information exposed 9,000 had credit card, names, addresses, Social Security numbers exposed. ","9,000","""For one week in late April and early May, a hacker (or hackers) got 
into servers that held information provided by 22,000 people for 11 
mental health studies being done at the New York State Psychiatric 
Institute.These were not patients being treated at the institute, but subjects of its research.They
 included, among others, school children directly exposed to the events 
of Sept. 11; Puerto Rican youth; severely emotional disturbed young 
people in Westchester County and their caretakers; people in the Bronx 
suffering from post-traumatic stress who have family in the criminal 
justice system; students at three schools in Queens and four others in 
Washington Heights, Manhattan, whose mental health needs were being 
assessed.It was a hack with different fingers, infiltrating two 
servers operated by the State of New York and plucking out information 
of varying calibers. For about 9,000 people, it captured the kind of 
data that is sold to identity thieves, like names, addresses and so 
forth.""More Information: http://www.nytimes.com/2016/09/14/nyregion/a-computer-breach-that-could-...","Media",""
